company,valuation,date_joined,year_joined,industry,city,country,continent,year_founded,funding,select_investors
Rec Room,4000000000,23/03/2021,2021,Internet software & services,Seattle,United States,North America,2016,294000000,"First Round Capital, Sequoia Capital, Index Ventures"
Tekion,4000000000,21/10/2020,2020,Internet software & services,San Ramon,United States,North America,2016,435000000,"Airbus Ventures, Index Ventures, Advent International"
Otto Bock HealthCare,4000000000,24/06/2017,2017,Health,Duderstadt,Germany,Europe,1919,0,EQT Partners
Outreach,4000000000,16/04/2019,2019,Internet software & services,Seattle,United States,North America,2011,489000000,"Mayfield Fund, M12, Trinity Ventures"
WeRide,4000000000,23/12/2020,2020,Auto & transportation,Guangzhou,China,Asia,2017,1000000000,"Atop Capital, IDInvest Partners, Qiming Venture Partners"
Applied Intuition,4000000000,22/10/2020,2020,Data management & analytics,Sunnyvale,United States,North America,2017,352000000,"Andreessen Horowitz, Lux Capital, General Catalyst"
Course Hero,4000000000,12/02/2020,2020,Edtech,Redwood City,United States,North America,2006,477000000,"NewView Capital, Maveron, Ridge Ventures"
Relativity,4000000000,18/03/2021,2021,Internet software & services,Chicago,United States,North America,2001,125000000,"Silver Lake, ICONIQ Capital"
Whoop,4000000000,28/10/2020,2020,E-commerce & direct-to-consumer,Boston,United States,North America,2012,404000000,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
Arctic Wolf Networks,4000000000,22/10/2020,2020,Cybersecurity,Eden Prairie,United States,North America,2012,498000000,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
GOAT,4000000000,23/09/2020,2020,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,493000000,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Noom,4000000000,24/05/2021,2021,Health,New York,United States,North America,2006,657000000,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
Papaya Global,4000000000,04/03/2021,2021,Internet software & services,New York,United States,North America,2016,440000000,"Bessemer Venture Partners, Insight Partners, New Era Ventures"
Redwood Materials,4000000000,28/07/2021,2021,Other,Carson City,United States,North America,2017,792000000,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
ShareChat,4000000000,08/04/2021,2021,Internet software & services,Bengaluru,India,Asia,2015,1000000000,"India Quotient, Elevation Capital, Lightspeed Venture Partners"
Sorare,4000000000,21/09/2021,2021,E-commerce & direct-to-consumer,Paris,France,Europe,2019,739000000,"Benchmark, Accel, SoftBank Group"
VAST Data,4000000000,16/04/2020,2020,Data management & analytics,New York,United States,North America,2016,263000000,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Articulate,4000000000,01/07/2021,2021,Edtech,New York,United States,North America,2015,2000000000,"Blackstone, ICONIQ Growth, General Atlantic"
Dutchie,4000000000,16/03/2021,2021,E-commerce & direct-to-consumer,Bend,United States,North America,2017,603000000,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
FalconX,4000000000,10/08/2021,2021,Fintech,San Mateo,United States,North America,2018,324000000,"Tiger Global Management, American Express Ventures, B Capital Group"
Guild Education,4000000000,13/11/2019,2019,Internet software & services,Denver,United States,North America,2015,379000000,"General Atlantic, Blackstone, ICONIQ Growth"
Chainalysis,4000000000,23/11/2020,2020,Fintech,New York,United States,North America,2014,367000000,"Addition, Benhcmark, Accel"
dbt Labs,4000000000,30/06/2021,2021,Data management & analytics,Philadelphia,United States,North America,2016,414000000,"Andreessen Horowitz, Amplify Partners, Sequoia Capital"
Globalization Partners,4000000000,24/01/2022,2022,Internet software & services,Boston,United States,North America,2012,350000000,"Vista Equity Partners, Wincove, TDR Capital"
Intarcia Therapeutics,4000000000,01/04/2014,2014,Health,Boston,United States,North America,1995,1000000000,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Relativity Space,4000000000,23/11/2020,2020,Other,Inglewood,United States,North America,2016,1000000000,"Playground Global, Bond, Tribe Capital"
StockX,4000000000,26/06/2019,2019,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,495000000,"Google Ventures, Battery Ventures, DST Global"
ThoughtSpot,4000000000,08/05/2018,2018,Internet software & services,Sunnyvale,United States,North America,2012,664000000,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
SSENSE,4000000000,08/06/2021,2021,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,0,Sequoia Capital
BitPanda,4000000000,16/03/2021,2021,Fintech,Vienna,Austria,Europe,2014,546000000,"Speedinvest, Valar Ventures, Uniqa Ventures"
Dataminr,4000000000,04/06/2018,2018,Artificial intelligence,New York,United States,North America,2009,1000000000,"Venrock, Institutional Venture Partners, Goldman Sachs"
Weee!,4000000000,16/03/2021,2021,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,864000000,"Goodwater Capital, iFly, XVC Venture Capital"
Medlinker,4000000000,31/07/2018,2018,Health,Chengdu,China,Asia,2014,761000000,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Hozon Auto,4000000000,22/02/2022,2022,Auto & transportation,Shanghai,China,Asia,2014,2000000000,"HD Capital, Qihoo 360 Technology, China Fortune Land Development"
Aurora Solar,4000000000,24/05/2021,2021,Internet software & services,San Francisco,United States,North America,2013,523000000,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital"
Branch,4000000000,10/09/2018,2018,Mobile & telecommunications,Redwood City,United States,North America,2014,667000000,"New Enterprise Associates, Pear, Cowboy Ventures"
BrowserStack,4000000000,16/06/2021,2021,Internet software & services,Dublin,Ireland,Europe,2011,250000000,"Accel, Insight Partners, Bond Capital"
Cerebras Systems,4000000000,14/11/2018,2018,Hardware,Los Altos,United States,North America,2016,720000000,"Benchmark, Foundation Capital, Sequoia Capital"
ClickUp,4000000000,15/12/2020,2020,Internet software & services,San Diego,United States,North America,2017,535000000,"Georgian Partners, Craft Ventures"
Clubhouse,4000000000,24/01/2021,2021,Mobile & telecommunications,San Francisco,United States,North America,2020,110000000,"Andreessen Horowitz, TQ Ventures"
Farmers Business Network,4000000000,03/08/2020,2020,Other,San Carlos,United States,North America,2014,870000000,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
Houzz,4000000000,30/09/2014,2014,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,614000000,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
MEGVII,4000000000,31/10/2017,2017,Artificial intelligence,Beijing,China,Asia,2011,1000000000,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Melio,4000000000,25/01/2021,2021,Fintech,New York,United States,North America,2018,504000000,"Accel, Aleph, American Express Ventures"
Next Insurance,4000000000,07/10/2019,2019,Fintech,Palo Alto,United States,North America,2016,881000000,"Zeev Ventures, Ribbit Capital, TLV Partners"
Olive,4000000000,01/12/2020,2020,Internet software & services,Columbus,United States,North America,2012,856000000,"Drive Capital, General Catalyst, Ascension Ventures"
Patreon,4000000000,02/09/2020,2020,Internet software & services,San Francisco,United States,North America,2013,413000000,"Index Ventures, Thrive Capital, CRV"
PointClickCare,4000000000,07/01/2021,2021,Internet software & services,Mississauga,Canada,North America,2000,230000000,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity"
Rubrik,4000000000,28/04/2017,2017,Data management & analytics,Palo Alto,United States,North America,2014,553000000,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Vuori,4000000000,13/10/2021,2021,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,445000000,"SoftBank Group, Norwest Venture Partners"
Webflow,4000000000,13/01/2021,2021,Internet software & services,San Francisco,United States,North America,2012,335000000,"Accel, Silversmith Capital Partners, capitalG"
Yuga Labs,4000000000,22/03/2022,2022,Fintech,Miami,United States,North America,2021,450000000,"Andreessen Horowitz, Thrive Capital, Sound Ventures"
Zapier,4000000000,14/01/2021,2021,Internet software & services,Sunnyvale,United States,North America,2011,1000000,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
Dadi Cinema,3000000000,11/05/2016,2016,Other,Shenzhen,China,Asia,2006,154000000,Alibaba Pictures Group
Kurly,3000000000,09/07/2021,2021,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,770000000,"Sequoia Capital China, DST Global, DST Global"
Moglix,3000000000,17/05/2021,2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,471000000,"Jungle Ventures, Accel, Venture Highway"
OpenAI,3000000000,22/07/2019,2019,Artificial intelligence,San Francisco,United States,North America,2015,1000000000,Khosla Ventures
Upstox,3000000000,29/11/2021,2021,Fintech,Mumbai,India,Asia,2010,54000000,"Tiger Global Management, Kalaari Capital"
Vista Global,3000000000,23/08/2017,2017,Other,Dubai,United Arab Emirates,Asia,2004,418000000,Rhone Capital
Yixia,3000000000,24/11/2015,2015,Mobile & telecommunications,Beijing,China,Asia,2011,775000000,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Automattic,3000000000,27/05/2013,2013,Internet software & services,San Francisco,United States,North America,2005,859000000,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
OakNorth Bank,3000000000,12/10/2017,2017,Fintech,London,United Kingdom,Europe,2015,1000000000,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Worldcoin,3000000000,29/06/2021,2021,Fintech,San Francisco,United States,North America,2019,125000000,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
Hive Box,3000000000,23/01/2018,2018,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,1000000000,"Eastern Bell Capital, SF Holding Co, STO Express"
Trax,3000000000,22/07/2019,2019,Artificial intelligence,,Singapore,Asia,2010,1000000000,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
MessageBird,3000000000,08/10/2020,2020,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,1000000000,"Y Combinator, Atomico, Accel"
Cohesity,3000000000,11/06/2018,2018,Data management & analytics,San Jose,United States,North America,2013,660000000,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Cybereason,3000000000,06/08/2019,2019,Cybersecurity,Boston,United States,North America,2012,714000000,"SoftBank Group, CRV, Spark Capital"
A24 Films,3000000000,09/03/2022,2022,Other,New York,United States,North America,2012,225000000,"Stripes Group, Neuberger Berman"
Acronis,3000000000,18/09/2019,2019,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,408000000,"Goldman Sachs, VebVentures, Insight Partners"
Aura,3000000000,09/06/2021,2021,Cybersecurity,Burlington,United States,North America,2019,500000000,"Warburg Pincus, General Catalyst"
BYTON,3000000000,20/04/2018,2018,Auto & transportation,Nanjing,China,Asia,2016,1000000000,"FAW Group, Tencent Holdings, Tus Holdings"
Cato Networks,3000000000,17/11/2020,2020,Cybersecurity,Tel Aviv,Israel,Asia,2015,532000000,"Aspect Ventures, SingTel Innov8, Greylock Partners"
Digit Insurance,3000000000,15/01/2021,2021,Fintech,Bengaluru,India,Asia,2016,531000000,"Fairfax Financial Holdings, A91 Partners, TVS Capital"
Fetch Rewards,3000000000,31/03/2021,2021,E-commerce & direct-to-consumer,Madison,United States,North America,2014,582000000,"Greycroft, Loeb.NYC, DST Global"
Games24x7,3000000000,30/03/2022,2022,Internet software & services,Mumbai,India,Asia,2006,75000000,"Tiger Global Management, The Raine Group, Malabar Investments"
GoStudent,3000000000,22/06/2021,2021,Edtech,Vienna,Austria,Europe,2017,685000000,"DN Capital, Left Lane Capital, Coatue Management"
Immutable,3000000000,07/03/2022,2022,Fintech,Sydney,Australia,Oceania,2018,280000000,"Fabric Ventures, AirTree Ventures, Temasek"
Infra.Market,3000000000,25/02/2021,2021,E-commerce & direct-to-consumer,Thane,India,Asia,2016,274000000,"Accel, Tiger Global Management, Nexus Venture Partners"
Side,3000000000,22/03/2021,2021,Internet software & services,San Francisco,United States,North America,2017,314000000,"Coatue Managemeny, Trinity Ventures, Matrix Partners"
SiFive,3000000000,16/03/2022,2022,Hardware,San Mateo,United States,North America,2015,366000000,"Sutter Hill Ventures, Osage University Partners, Spark Capital"
Somatus,3000000000,23/02/2022,2022,Health,McLean,United States,North America,2016,465000000,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital"
Sysdig,3000000000,28/04/2021,2021,Cybersecurity,San Francisco,United States,North America,2013,730000000,"Accel, Bain Capital Ventures, Insight Partners"
Varo Bank,3000000000,09/09/2021,2021,Fintech,San Francisco,United States,North America,2015,987000000,"Warburg Pincus, The Rise Fund, HarbourVest Partners"
Vercel,3000000000,23/06/2021,2021,Internet software & services,San Francisco,United States,North America,2015,313000000,"CRV, Accel, Google Ventures"
Oura,3000000000,05/04/2022,2022,Health,Oulu,Finland,Europe,2013,148000000,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
Unacademy,3000000000,02/09/2020,2020,Edtech,Bengaluru,India,Asia,2015,789000000,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India"
Axonius,3000000000,01/03/2021,2021,Cybersecurity,New York,United States,North America,2017,395000000,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
Clari,3000000000,03/03/2021,2021,Internet software & services,Sunnyvale,United States,North America,2012,496000000,"Sequoia Capital, Bain Capital Ventures, enaya Capital"
ManoMano,3000000000,05/07/2021,2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,706000000,"General Atlantic, Piton Capital, Partech Partners"
Pendo,3000000000,17/10/2019,2019,Internet software & services,Raleigh,United States,North America,2013,357000000,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
Plume,3000000000,23/02/2021,2021,Internet software & services,Palo Alto,United States,North America,2015,722000000,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
JumpCloud,3000000000,13/09/2021,2021,Data management & analytics,Louisville,United States,North America,2012,407000000,"Foundry Group, General Atlantic, BlackRock"
Project44,3000000000,01/06/2021,2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,818000000,"Emergence Capital Partners, 8VC, Chicago Ventures"
Sourcegraph,3000000000,13/07/2021,2021,Internet software & services,San Francisco,United States,North America,2013,248000000,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
OwnBackup,3000000000,28/01/2021,2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,507000000,"Insight Partners, Salesforce Ventures, Vertex Ventures"
Starburst,3000000000,06/01/2021,2021,Data management & analytics,Boston,United States,North America,1999,414000000,"Index Ventures, Coatue Management, Andreessen Horowitz"
Youxia Motors,3000000000,02/04/2018,2018,Auto & transportation,Shanghai,China,Asia,2014,1000000000,"China Environmental Protection Industry, China Fortune Ocean"
Zetwerk,3000000000,20/08/2021,2021,Internet software & services,Bengaluru,India,Asia,2018,543000000,"Sequoia Capital India, Kae Capital, Accel"
Cars24,3000000000,24/11/2020,2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,1000000000,"Moore Strategic Ventures, DST Global, Sequoia Capital India"
Ethos,3000000000,11/05/2021,2021,Fintech,San Francisco,United States,North America,2016,407000000,"Sequoia Capital, Google Ventures, Accel"
Komodo Health,3000000000,22/05/2020,2020,Health,San Francisco,United States,North America,2014,314000000,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
Nextiva,3000000000,14/09/2021,2021,Internet software & services,Scottsdale,United States,North America,2008,200000000,Goldman Sachs Asset Management
o9 Solutions,3000000000,28/04/2020,2020,Artificial intelligence,Dallas,United States,North America,2009,417000000,KKR
Scopely,3000000000,29/10/2019,2019,Mobile & telecommunications,Culver City,United States,North America,2011,999000000,"Greycroft, Sands Capital, Revolution Growth"
Sila Nanotechnologies,3000000000,16/04/2019,2019,Other,Alameda,United States,North America,2011,880000000,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Via,3000000000,30/03/2020,2020,Auto & transportation,New York,United States,North America,2012,777000000,"83North, RiverPark Ventures, Pitango Venture Capital"
Transmit Security,3000000000,22/06/2021,2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,583000000,"General Atlantic, Insight Partners, Vintage Investment Partners"
BlockDaemon,3000000000,21/09/2021,2021,Fintech,Los Angeles,United States,North America,2016,398000000,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
Convoy,3000000000,21/09/2018,2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,666000000,"Greylock Partners, capitalG, Y Combinator"
Dream Games,3000000000,30/06/2021,2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,468000000,"Makers Fund, Index Ventures, Inova Ventures Participacees"
Illumio,3000000000,14/04/2015,2015,Cybersecurity,Sunnyvale,United States,North America,2013,558000000,"Data Collective, Formation 8, General Catalyst Partners"
MasterClass,3000000000,13/05/2021,2021,Edtech,San Francisco,United States,North America,2015,461000000,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
Graphcore,3000000000,18/12/2018,2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,682000000,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
ApplyBoard,3000000000,05/05/2020,2020,Edtech,Kitchener,Canada,North America,2015,483000000,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
Blockstream,3000000000,24/08/2021,2021,Fintech,Vancouver,Canada,North America,2014,299000000,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital"
Cedar,3000000000,09/03/2021,2021,Fintech,New York,United States,North America,2016,326000000,"Thrive Capital, Founders Fund, Cocnord Health Partners"
ContentSquare,3000000000,25/05/2021,2021,Internet software & services,Paris,France,Europe,2012,812000000,"Highland Europe, Eurazeo, Canaan Partners"
Eruditus Executive Education,3000000000,12/08/2021,2021,Edtech,Mumbai,India,Asia,2010,591000000,"Sequoia Capital India, Softbank, Bertelsmann India Investments"
Innovaccer,3000000000,19/02/2021,2021,Health,San Francisco,United States,North America,2014,379000000,"M12, WestBridge Capital, Lightspeed Venture Partners"
Ironclad,3000000000,18/01/2022,2022,Internet software & services,Sacramento,United States,North America,2014,334000000,"Accel, Sequoia Capital, Y Combinator"
Skims,3000000000,09/04/2021,2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,399000000,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
Thumbtack,3000000000,29/09/2015,2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,698000000,"Tiger Global, Sequoia Capital, Google Capital"
Zipline,3000000000,20/05/2019,2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,483000000,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
BharatPe,3000000000,30/07/2021,2021,Fintech,New Delhi,India,Asia,2018,600000000,"Insight Partners, Sequoia Capital India, BEENEXT"
DriveWealth,3000000000,20/08/2021,2021,Fintech,Chatham,United States,North America,2012,551000000,"Point72 Ventures, Route 66 Ventures, Accel"
Flink Food,3000000000,01/12/2021,2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,1000000000,"Mubadala Capital, Bond, Prosus Ventures"
PsiQuantum,3000000000,27/07/2021,2021,Hardware,Palo Alto,United States,North America,2016,665000000,"Playground Global, M12, BlackRock"
SpotOn,3000000000,26/05/2021,2021,Fintech,San Francisco,United States,North America,2017,628000000,"Dragoneer Investment Group, DST Global, Franklin Templeton"
Gorillas,3000000000,25/03/2021,2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,1000000000,"Coatue Management, Atlantic Food Labs, DST Global"
HighRadius,3000000000,07/01/2020,2020,Fintech,Houston,United States,North America,2006,475000000,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
Loft,3000000000,03/01/2020,2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,788000000,"Monashees+, Andreessen Horowitz, QED Investors"
Nuvemshop,3000000000,17/08/2021,2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,628000000,"Kaszek Ventures, Qualcomm Ventures, Accel"
Udaan,3000000000,04/09/2018,2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,1000000000,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Workrise,3000000000,30/09/2019,2019,Internet software & services,Austin,United States,North America,2014,722000000,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
ActiveCampaign,3000000000,21/04/2021,2021,Internet software & services,Chicago,United States,North America,2003,360000000,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
Age of Learning,3000000000,03/05/2016,2016,Edtech,Glendale,United States,North America,2007,500000000,Iconiq Capital
Amber Group,3000000000,21/06/2021,2021,Fintech,,Hong Kong,Asia,2015,328000000,"Tiger Global Management, Tiger Brokers, DCM Ventures"
Anchorage Digital,3000000000,15/12/2021,2021,Fintech,San Francisco,United States,North America,2017,487000000,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
BlockFi,3000000000,11/03/2021,2021,Fintech,Jersey City,United States,North America,2017,1000000000,"ConsenSys Ventures, Valar Ventures, PUC"
Calendly,3000000000,26/01/2021,2021,Internet software & services,Atlanta,United States,North America,2013,351000000,"ICONIQ Capital, OpenView Venture Partners"
Carbon Health,3000000000,21/07/2021,2021,Health,San Francisco,United States,North America,2015,523000000,"Brookfield Asset Management, Blackstone, Data Collective"
Circle,3000000000,15/05/2018,2018,Fintech,Boston,United States,North America,2013,711000000,"General Catalyst, Digital Currency Group, Accel"
CMR Surgical,3000000000,17/09/2019,2019,Health,Cambridge,United Kingdom,Europe,2014,975000000,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
Contentful,3000000000,28/07/2021,2021,Internet software & services,Berlin,Germany,Europe,2013,333000000,"Balderton Capital, General Catalyst, Tiger Global Management"
Cross River Bank,3000000000,11/02/2022,2022,Fintech,Fort Lee,United States,North America,2008,775000000,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
Delhivery,3000000000,27/02/2019,2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,1000000000,"Times Internet, Nexus Venture Partners, SoftBank Group"
FlixBus,3000000000,18/07/2019,2019,Auto & transportation,Munich,Germany,Europe,2013,1000000000,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
Flutterwave,3000000000,09/03/2021,2021,Fintech,San Francisco,United States,North America,2016,474000000,"Green Visor Capital, CRE Venture Capital, Greycroft"
Forter,3000000000,19/11/2020,2020,Cybersecurity,New York,United States,North America,2013,525000000,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
Grafana Labs,3000000000,25/03/2021,2021,Internet software & services,New York,United States,North America,2014,535000000,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
Groww,3000000000,07/04/2021,2021,Fintech,Bengaluru,India,Asia,2017,393000000,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
Inxeption,3000000000,13/01/2022,2022,Fintech,San Francisco,United States,North America,2017,187000000,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
KK Group,3000000000,23/10/2019,2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,612000000,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
Lattice,3000000000,23/03/2021,2021,Internet software & services,San Francisco,United States,North America,2015,329000000,"Khosla Ventures, Thrive Capital, Y Combinator"
LaunchDarkly,3000000000,10/08/2021,2021,Internet software & services,Oakland,United States,North America,2014,330000000,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
Lucid,3000000000,29/06/2021,2021,Internet software & services,South Jordan,United States,North America,2010,170000000,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
Outschool,3000000000,14/04/2021,2021,Edtech,San Francisco,United States,North America,2015,240000000,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
Podium,3000000000,07/04/2020,2020,Internet software & services,Lehi,United States,North America,2014,419000000,"Accel, Summit Partners, Google Ventures"
Remote,3000000000,13/07/2021,2021,Fintech,San Francisco,United States,North America,2016,496000000,"Index Ventures, Sequoia Capital, General Catalyst"
Seismic,3000000000,18/12/2018,2018,Internet software & services,San Diego,United States,North America,2010,427000000,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
Sky Mavis,3000000000,04/10/2021,2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,311000000,"Fabric Ventures, 500 Global, Standard Crypto"
SouChe Holdings,3000000000,01/11/2017,2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,1000000000,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
TradingView,3000000000,14/10/2021,2021,Fintech,Westerville,United States,North America,2011,339000000,"Tiger Global Management, Insight Partners, Jump Capital"
Traveloka,3000000000,01/01/2017,2017,Travel,Jakarta,Indonesia,Asia,2012,1000000000,"Global Founders Capital, East Ventures, Expedia Inc."
wefox,3000000000,05/03/2019,2019,Fintech,Berlin,Germany,Europe,2014,919000000,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Wildlife Studios,3000000000,05/12/2019,2019,Other,Sao Paulo,Brazil,South America,2011,180000000,"Benchmark, Bessemer Venture Partners"
1047 Games,2000000000,14/09/2021,2021,Internet software & services,Zephyr Cove,United States,North America,2017,127000000,"VGames, Lakestar, Galaxy Interactive"
Baiwang,2000000000,25/03/2019,2019,Fintech,Beijing,China,Asia,2015,224000000,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
Boba,2000000000,05/04/2022,2022,Fintech,San Francisco,United States,North America,2018,45000000,"DeFi Technologies, Hypersphere Ventures, M13"
Bought By Many,2000000000,01/06/2021,2021,Fintech,London,United Kingdom,Europe,2012,477000000,"Octopus Ventures, Munich Re Ventures, CommerzVentures"
Cambridge Mobile Telematics,2000000000,19/12/2018,2018,Mobile & telecommunications,Cambridge,United States,North America,2010,503000000,SoftBank Group
Carzone,2000000000,01/03/2019,2019,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,946000000,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital"
CFGI,2000000000,15/09/2021,2021,Fintech,Boston,United States,North America,2000,19000000,"The Carlyle Group, CVC Capital Partners"
Cgtz,2000000000,21/02/2017,2017,Fintech,Hangzhou,China,Asia,2014,536000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Changingedu,2000000000,30/10/2017,2017,Edtech,Shanghai,China,Asia,2014,188000000,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
eDaili,2000000000,01/02/2019,2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,101000000,"K2VC, Lightspeed China Partners, Sky9 Capital"
ENOVATE,2000000000,15/04/2019,2019,Auto & transportation,Shanghai,China,Asia,2015,1000000000,Automobile Industry Guidance Fund
Fenbi Education,2000000000,07/02/2021,2021,Edtech,Beijing,China,Asia,2015,390000000,"Trustbridge Partners, Hony Capital, IDG Capital"
Hesai Tech,2000000000,01/08/2020,2020,Artificial intelligence,Shanghai,China,Asia,2013,717000000,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners"
Il Makiage,2000000000,10/01/2022,2022,E-commerce & direct-to-consumer,New York,United States,North America,2018,29000000,"L Catterton, Franklin Templeton, First Light Capital Group"
Iluvatar CoreX,2000000000,01/03/2021,2021,Hardware,Shanghai,China,Asia,2015,186000000,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital"
Jusfoun Big Data,2000000000,09/07/2018,2018,Data management & analytics,Beijing,China,Asia,2010,137000000,"Boxin Capital, DT Capital Partners, IDG Capital"
Pagaya,2000000000,17/06/2020,2020,Fintech,Tel Aviv,Israel,Asia,2015,417000000,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office"
PolicyBazaar,2000000000,06/05/2019,2019,Fintech,Gurgaon,India,Asia,2008,634000000,"Info Edge, Softbank Capital"
Promasidor Holdings,2000000000,08/11/2016,2016,Consumer & retail,Bryanston,South Africa,Asia,1979,556000000,"IFC, Ajinomoto"
